,id,release_date,revenue,genres,vote_count,runtime,budget,vote_average,release_month,release_year
47,10530,1995-06-14,346079773.0,Adventure Animation Drama Family,1509.0,81.0,55000000,6.7,6,1995
49,629,1995-07-19,23341568.0,Drama Crime Thriller,3334.0,106.0,6000000,8.1,7,1995
51,11448,1995-09-13,6700000.0,Comedy Romance,145.0,95.0,15000000,6.7,9,1995
56,9089,1995-11-02,17519169.0,Comedy Drama Romance,39.0,103.0,0,6.3,11,1995
61,2054,1995-12-29,106269971.0,Music Drama Family,115.0,137.0,0,6.9,12,1995
65,11525,1996-01-12,2409225.0,Action Science Fiction,32.0,92.0,0,2.8,1,1996
68,10634,1995-04-26,28215918.0,Comedy,513.0,91.0,3500000,7.0,4,1995
69,755,1996-01-19,25836616.0,Horror Action Thriller Crime,1644.0,108.0,19000000,6.9,1,1996
70,11859,1995-11-03,11534477.0,Action Thriller Romance,54.0,91.0,50000000,4.1,11,1995
71,28387,1995-10-06,718490.0,Comedy Drama Romance,36.0,96.0,0,7.0,10,1995
73,20927,1996-01-26,19030691.0,Drama Romance,27.0,87.0,0,5.1,1,1996
74,36929,1996-01-26,2042530.0,Comedy Family,16.0,90.0,15000000,3.9,1,1996
75,9102,1995-09-08,5781885.0,Horror Science Fiction,154.0,108.0,20000000,6.1,9,1995
80,400,1995-12-01,529766.0,Drama Crime,87.0,116.0,8000000,6.7,12,1995
85,10534,1996-02-02,10300000.0,Action Drama,86.0,129.0,38000000,6.3,2,1996
87,13997,1996-02-01,32.0,Comedy,124.0,87.0,0,6.0,2,1996
88,2086,1995-11-22,8175346.0,Crime Drama Thriller,190.0,90.0,8169363,6.1,11,1995
90,9095,1996-02-23,12379402.0,Drama Horror Thriller Romance,77.0,104.0,47000000,5.7,2,1996
91,12158,1995-10-26,19800000.0,Comedy Horror Romance,113.0,100.0,14000000,4.5,10,1995
93,9208,1996-02-09,150270147.0,Action Adventure Drama Thriller,459.0,108.0,50000000,5.7,2,1996
99,13685,1996-02-21,560069.0,Comedy Crime Drama,285.0,91.0,7000000,6.8,2,1996
102,9614,1996-02-16,41205099.0,Comedy,767.0,92.0,12000000,6.5,2,1996
103,688,1995-05-28,182016617.0,Drama Romance,397.0,135.0,24000000,7.3,5,1995
105,10874,1996-02-16,34327391.0,Action Comedy Music Family Adventure,93.0,100.0,0,6.5,2,1996
108,197,1995-05-24,210000000.0,Action Drama History War,3404.0,177.0,72000000,7.7,5,1995
109,103,1976-02-07,28262574.0,Crime Drama,2632.0,114.0,1300000,8.1,2,1976
110,33542,1995-01-30,32392047.0,Crime Action Comedy Thriller,245.0,91.0,7500000,6.5,1,1995
114,51352,1995-06-08,1.0,Documentary Drama Foreign,4.0,117.0,0,7.3,6,1995
117,78406,1995-09-29,6278139.0,Comedy Drama,7.0,113.0,25000000,5.1,9,1995
120,11066,1992-06-30,70100000.0,Comedy Romance,139.0,117.0,40000000,5.4,6,1992
123,2074,1996-03-22,14702438.0,Comedy Romance,66.0,92.0,7000000,6.3,3,1996
130,11863,1995-10-13,9851610.0,Action Thriller Mystery Romance,45.0,95.0,50000000,5.1,10,1995
135,5757,1995-09-15,209935.0,Comedy,2.0,86.0,0,3.8,9,1995
139,11000,1996-03-08,185260553.0,Comedy,303.0,117.0,31000000,6.7,3,1996
142,9737,1995-04-07,141407024.0,Action Comedy Crime Thriller,1729.0,118.0,19000000,6.5,4,1995
145,22279,1995-07-21,851545.0,Romance Drama Comedy,11.0,113.0,4000000,6.0,7,1995
147,568,1995-06-30,355237933.0,Drama,1637.0,140.0,52000000,7.3,6,1995
148,11780,1995-04-13,31596911.0,Adventure,151.0,139.0,28000000,6.5,4,1995
150,414,1995-06-16,336529144.0,Action Crime Fantasy,1529.0,121.0,100000000,5.2,6,1995
153,5894,1995-09-15,1275000.0,Comedy,28.0,83.0,2000000,6.8,9,1995
154,1775,1995-06-08,178104.0,Action Comedy,57.0,91.0,11000000,5.9,6,1995
155,8839,1995-05-26,287928194.0,Fantasy Comedy Family,1045.0,100.0,50000000,6.0,5,1995
156,20649,1995-09-15,13071518.0,Mystery Crime Drama,69.0,128.0,25000000,6.8,9,1995
157,10329,1995-06-09,152022101.0,Action Adventure Drama Mystery Science Fiction Thriller,214.0,109.0,50000000,5.0,6,1995
158,8963,1995-05-12,157387195.0,Action Thriller Drama,508.0,116.0,53000000,7.0,5,1995
159,26564,1994-09-10,3174695.0,Documentary,71.0,119.0,0,7.6,9,1994
160,8068,1995-08-25,25405445.0,Thriller Action Crime,898.0,104.0,7000000,6.8,8,1995
161,8512,1995-09-15,16140822.0,Drama Mystery Thriller,88.0,102.0,27000000,6.3,9,1995
162,1572,1995-05-19,366101666.0,Action Thriller,2094.0,128.0,90000000,6.9,5,1995
165,6520,1995-07-07,127600435.0,Action Adventure Drama Romance,319.0,134.0,55000000,5.9,7,1995
167,10428,1995-09-14,7563728.0,Action Crime Thriller Drama,406.0,107.0,20000000,6.2,9,1995
169,9886,1995-05-26,19075720.0,Adventure Action Drama Science Fiction Thriller,380.0,97.0,25000000,5.5,5,1995
170,9482,1995-06-30,113493481.0,Science Fiction,643.0,96.0,90000000,5.4,6,1995
171,19326,1995-04-12,17014653.0,Comedy Drama,34.0,88.0,0,4.0,4,1995
172,9344,1995-07-28,7412216.0,Drama Crime,280.0,91.0,1500000,6.8,7,1995
173,9071,1995-01-20,1148752.0,Drama Comedy,64.0,89.0,500000,7.2,1,1995
176,47608,1995-05-26,15453274.0,Drama Family Romance,27.0,95.0,0,5.5,5,1995
177,2293,1995-10-20,2122561.0,Romance Comedy,400.0,94.0,6000000,6.8,10,1995
178,9070,1995-06-30,66000000.0,Action Adventure Science Fiction Family Fantasy,153.0,92.0,15000000,5.2,6,1995
180,48787,1995-09-28,1.0,Thriller Foreign,36.0,95.0,2,6.4,9,1995
182,1642,1995-07-28,110627965.0,Crime Drama Mystery Thriller Action,359.0,114.0,22000000,5.6,7,1995
183,11472,1995-07-12,69660733.0,Comedy,171.0,103.0,0,5.5,7,1995
184,36196,1995-06-09,472370.0,Comedy,14.0,94.0,150000,5.8,6,1995
185,11980,1995-09-01,16.0,Fantasy Horror Thriller,139.0,98.0,8,6.4,9,1995
188,10533,1995-10-13,10382407.0,Drama History Romance,111.0,135.0,50000000,5.5,10,1995
190,10802,1995-09-22,20350754.0,Drama,261.0,128.0,45000000,4.9,9,1995
191,10149,1995-06-09,8349430.0,Comedy Drama,115.0,112.0,7000000,7.2,6,1995
192,18402,1995-08-04,50892160.0,Comedy,60.0,106.0,0,5.7,8,1995
193,9348,1995-07-07,113374103.0,Science Fiction Horror Action,457.0,108.0,35000000,5.5,7,1995
195,281,1995-10-13,7959291.0,Crime Drama Science Fiction Thriller,334.0,145.0,42000000,6.8,10,1995
197,79593,1995-09-08,5780000.0,Thriller,9.0,99.0,14000000,4.6,9,1995
198,47939,1995-10-27,7025496.0,Drama Fantasy,18.0,115.0,0,6.1,10,1995
199,36834,1995-11-02,339889.0,Drama Romance,112.0,111.0,0,6.5,11,1995
200,9090,1995-09-07,47774193.0,Comedy,117.0,105.0,0,6.3,9,1995
201,3512,1995-07-13,104324083.0,Action Thriller,217.0,100.0,60000000,5.6,7,1995
204,9560,1995-08-11,50012507.0,Drama Romance,168.0,103.0,20000000,6.5,8,1995
205,9804,1995-07-28,264218220.0,Adventure Action,1017.0,135.0,175000000,5.9,7,1995
210,50797,1994-05-01,2616503.0,Drama,35.0,135.0,2800000,6.7,5,1994
211,19155,1994-06-09,763847.0,Drama War,45.0,113.0,0,7.7,6,1994
212,76,1995-01-27,5535405.0,Drama Romance,984.0,105.0,2500000,7.7,1,1995
213,11017,1995-02-10,26488734.0,Comedy,464.0,89.0,10000000,6.2,2,1995
215,9382,1995-02-03,23450000.0,Comedy Drama,48.0,115.0,21000000,6.3,2,1995
219,2292,1994-09-13,3151130.0,Comedy,769.0,92.0,27000,7.4,9,1994
220,1909,1994-10-01,22200000.0,Romance Drama Comedy,184.0,97.0,25000000,6.3,10,1994
221,8984,1994-12-09,214015089.0,Drama Thriller Crime Mystery Romance,217.0,123.0,55000000,5.9,12,1994
227,8467,1994-12-16,247275374.0,Comedy,1894.0,107.0,16000000,6.5,12,1994
228,10451,1994-08-03,7294403.0,Comedy Drama Romance,76.0,123.0,0,7.5,8,1994
230,18395,1994-10-14,6841570.0,Thriller Comedy Crime Romance,28.0,113.0,0,4.3,10,1994
231,522,1994-09-27,5887457.0,Comedy Drama History,639.0,127.0,18000000,7.3,9,1994
235,15789,1995-04-07,35348597.0,Romance Animation Family Comedy Adventure,404.0,78.0,0,6.7,4,1995
236,27303,1995-03-03,12201255.0,Drama Thriller,24.0,103.0,15000000,5.0,3,1995
239,47867,1995-05-12,3992809.0,Drama Family Fantasy,4.0,90.0,0,3.0,5,1995
242,14275,1994-09-12,7830611.0,Documentary,91.0,171.0,700000,7.7,9,1994
243,1024,1994-09-02,3049135.0,Drama Fantasy,299.0,99.0,5000000,6.9,9,1994
244,17207,1995-01-06,26325256.0,Comedy Family,17.0,113.0,10500000,6.0,1,1995
246,14819,1995-02-17,17689177.0,Comedy Family Drama,97.0,100.0,0,6.0,2,1995
249,628,1994-11-11,223664608.0,Horror Romance,1558.0,123.0,60000000,7.2,11,1994
250,87729,1995-03-31,2474000.0,Drama Romance,10.0,139.0,14000000,5.2,3,1995
252,6280,1994-11-22,37000000.0,Comedy Family Romance,381.0,109.0,60000000,4.7,11,1994
256,11,1977-05-25,775398007.0,Adventure Action Science Fiction,6778.0,121.0,11000000,8.1,5,1977
261,18183,1992-04-16,21665468.0,Drama Romance,70.0,105.0,2000000,6.6,4,1992
262,4476,1994-12-16,160638883.0,Adventure Drama Romance War,636.0,133.0,30000000,7.2,12,1994
267,28313,1995-03-17,7603766.0,Drama,28.0,106.0,17000000,6.4,3,1995
269,3036,1994-11-04,112006296.0,Drama Horror Science Fiction Romance,272.0,123.0,45000000,6.1,11,1994
272,8986,1994-08-31,18137661.0,Comedy Romance,49.0,108.0,0,5.6,8,1994
273,10510,1994-11-18,46264384.0,Fantasy Drama Family,199.0,114.0,0,6.4,11,1994
274,17402,1995-01-27,5.0,Comedy Romance,7.0,95.0,6,5.6,1,1995
276,8438,1995-01-20,17381942.0,Crime Drama,140.0,122.0,0,6.9,1,1995
278,1945,1994-12-23,106683817.0,Drama Thriller,128.0,112.0,31000000,6.1,12,1994
284,241,1994-08-25,50282766.0,Crime Thriller Drama,927.0,119.0,34000000,6.9,8,1994
286,527,1994-09-02,2201126.0,Drama,106.0,99.0,0,7.6,9,1994
288,6950,1995-03-10,189859560.0,Action Drama Science Fiction Thriller,522.0,127.0,50000000,6.4,3,1995
289,101,1994-09-14,45284974.0,Thriller Crime Drama,4293.0,110.0,16000000,8.2,9,1994
290,63020,1995-05-12,2832826.0,Comedy Drama Romance,9.0,113.0,11000000,6.6,5,1995
292,680,1994-09-10,213928762.0,Thriller Crime,8670.0,154.0,8000000,8.3,9,1994
293,41478,1995-11-10,6834525.0,Drama,6.0,124.0,0,6.4,11,1995
294,25296,1992-02-01,152322.0,Comedy Drama,9.0,105.0,400000,6.1,2,1992
295,40156,1994-01-01,4176932.0,Drama Romance,32.0,98.0,0,6.4,1,1994
299,12106,1995-02-09,18552460.0,Action Western,431.0,107.0,32000000,6.2,2,1995
300,161495,1995-03-01,12400000.0,Drama Comedy,7.0,108.0,22000000,6.4,3,1995
301,3586,1994-12-23,11300653.0,Drama Comedy,33.0,133.0,15000000,5.3,12,1994
309,22586,1994-11-18,9771658.0,Animation,251.0,89.0,35000000,6.5,11,1994
311,2636,1994-10-07,170362582.0,Action Thriller,317.0,110.0,45000000,5.5,10,1994
312,2164,1994-10-27,196567262.0,Action Adventure Science Fiction,942.0,121.0,55000000,6.8,10,1994
313,11395,1994-11-10,189833357.0,Fantasy Drama Comedy Family,501.0,97.0,22000000,6.3,11,1994
314,278,1994-09-23,28341469.0,Drama Crime,8358.0,142.0,25000000,8.5,9,1994
316,87078,1993-09-14,102780.0,Drama Thriller,7.0,96.0,0,6.0,9,1993
322,9067,1995-03-31,4064495.0,Action Comedy Fantasy Science Fiction,140.0,98.0,25000000,5.5,3,1995
324,193,1994-11-17,120000000.0,Science Fiction Action Adventure Thriller,461.0,118.0,38000000,6.4,11,1994
325,25066,1995-05-24,12000000.0,Crime Horror Thriller,33.0,98.0,6000000,5.4,5,1995
328,11381,1995-03-31,32648673.0,Comedy,321.0,97.0,0,6.8,3,1995
332,1587,1993-12-17,10032765.0,Romance Drama,943.0,118.0,11000000,7.5,12,1993
333,9271,1995-08-04,24048000.0,Action Crime Science Fiction Thriller,163.0,106.0,30000000,5.4,8,1995
334,2064,1995-04-21,182057016.0,Comedy Drama Romance,340.0,103.0,17000000,6.5,4,1995
336,60855,1994-09-07,759393.0,Comedy Romance,2.0,87.0,0,5.5,9,1994
337,236,1994-09-29,15119639.0,Drama Comedy Romance,104.0,106.0,3000000,6.9,9,1994
339,3049,1994-02-04,107217396.0,Comedy Mystery,1684.0,86.0,15000000,6.4,2,1994
340,2759,1994-05-31,11220670.0,Drama Comedy,174.0,104.0,0,7.2,5,1994
342,10497,1992-09-02,1862805.0,Thriller Drama Romance,115.0,139.0,5000000,7.0,9,1992
344,9331,1994-08-03,215887717.0,Action Drama Thriller,390.0,141.0,62000000,6.4,8,1994
345,10731,1994-07-20,117615211.0,Drama Thriller Crime Mystery,287.0,119.0,45000000,6.4,7,1994
348,9495,1994-05-11,94000000.0,Fantasy Action Thriller,980.0,102.0,15000000,7.3,5,1994
349,29973,1994-12-02,1007583.0,Drama,29.0,128.0,0,6.1,12,1994
350,888,1994-05-26,341631208.0,Fantasy Comedy Family,559.0,91.0,46000000,5.0,5,1994
351,13,1994-07-06,677945399.0,Comedy Drama Romance,8147.0,142.0,55000000,8.2,7,1994
352,712,1994-03-09,254700832.0,Comedy Drama Romance,654.0,117.0,6000000,6.6,3,1994
353,16295,1995-01-11,38290723.0,Romance Drama Crime,49.0,127.0,0,6.4,1,1995
354,48992,1994-10-14,1777020.0,Comedy Drama Romance,4.0,104.0,0,6.3,10,1994
355,10879,1994-06-29,61947267.0,Action Comedy Romance,41.0,123.0,45000000,5.3,6,1994
358,41647,1993-09-11,449707.0,Documentary Foreign,5.0,180.0,0,7.3,9,1993
359,8587,1994-06-23,788241776.0,Family Animation Drama,5520.0,89.0,45000000,8.0,6,1994
360,1689,1993-12-01,4858139.0,Drama History,76.0,140.0,35000000,6.0,12,1993
361,11596,1994-10-13,18090181.0,Horror Thriller Mystery Fantasy,297.0,112.0,14000000,6.4,10,1994
362,854,1994-07-29,351583407.0,Romance Comedy Crime Fantasy,2550.0,101.0,23000000,6.6,7,1994
365,36593,1994-03-18,51132598.0,Comedy Crime,535.0,83.0,30000000,6.4,3,1994
367,2788,1994-02-18,20079850.0,Drama,180.0,99.0,11500000,6.5,2,1994
368,10427,1993-07-08,2000000.0,Crime Drama Thriller,71.0,98.0,8000000,6.4,7,1993
372,1637,1994-06-09,350448145.0,Action Adventure Crime,1814.0,116.0,30000000,6.8,6,1994
374,8831,1994-09-15,101646581.0,Thriller Science Fiction Action Crime,288.0,99.0,27000000,5.5,9,1994
375,36955,1994-07-14,378882411.0,Action Thriller,1138.0,141.0,115000000,6.8,7,1994
376,10449,1994-04-29,50021959.0,Drama Romance,71.0,126.0,0,6.0,4,1994
378,12160,1994-06-24,25052000.0,Drama Action Western,203.0,191.0,63000000,6.5,6,1994
380,52038,1994-12-22,953.0,Comedy Drama,2.0,99.0,0,6.5,12,1994
382,26352,1994-11-23,29392418.0,Action Comedy Crime,31.0,100.0,10000000,6.0,11,1994
386,22067,1994-09-28,20851521.0,Crime Drama Romance,9.0,119.0,7000000,5.9,9,1994
388,11667,1994-12-22,99423521.0,Action Adventure Thriller,330.0,102.0,35000000,4.1,12,1994
400,8011,1994-11-29,36800000.0,Action Fantasy Science Fiction,110.0,99.0,26000000,4.5,11,1994
402,2654,1994-12-12,8946600.0,Horror Mystery Thriller,307.0,95.0,8000000,7.1,12,1994
405,2758,1993-11-19,48919043.0,Comedy Family Fantasy,537.0,94.0,0,6.5,11,1993
407,10436,1993-09-17,32255440.0,Drama Romance,172.0,139.0,34000000,7.0,9,1993
409,46094,1994-01-07,21011500.0,Comedy Family,42.0,107.0,17080000,5.1,1,1994
411,11853,1994-04-22,15240435.0,Action Adventure Comedy Drama Western,61.0,99.0,0,4.6,4,1994
415,306,1994-05-24,119208989.0,Action Comedy Crime,445.0,104.0,50000000,5.5,5,1994
417,26203,1994-01-26,16668552.0,Mystery Crime Drama Thriller,45.0,106.0,0,6.3,1,1994
418,178,1994-07-01,30156002.0,Drama Action Thriller,126.0,121.0,0,6.0,7,1994
421,4722,1993-06-09,428868.0,Horror Science Fiction Thriller,102.0,87.0,13000000,5.8,6,1993
422,18215,1993-06-18,1796389.0,Drama Romance,59.0,107.0,0,4.5,6,1993
423,1607,1993-09-14,17287898.0,Drama Crime,447.0,121.0,22000000,7.4,9,1993
424,26391,1994-01-07,3662459.0,Comedy,28.0,80.0,0,4.9,1,1994
425,117553,1993-09-03,2570145.0,Drama Comedy,10.0,90.0,13000000,3.7,9,1993
426,6075,1993-11-10,36516012.0,Action Crime Drama Thriller,805.0,144.0,30000000,7.7,11,1993
428,18658,1994-05-06,7355425.0,Comedy Thriller Mystery,25.0,107.0,0,5.7,5,1994
429,9350,1993-05-28,255000211.0,Action Adventure Thriller,600.0,112.0,70000000,6.1,5,1993
431,2124,1994-08-19,19726050.0,Drama Mystery Romance Thriller,117.0,121.0,40000000,5.4,8,1994
435,11566,1993-05-07,63000000.0,Comedy,205.0,110.0,0,6.3,5,1993
436,9571,1993-09-24,7993039.0,Comedy Drama,588.0,102.0,6900000,7.4,9,1993
437,9739,1993-10-08,159055768.0,Crime Action Science Fiction,1018.0,115.0,57000000,6.4,10,1993
446,18551,1993-11-05,9488998.0,Drama Mystery Romance,22.0,126.0,0,6.2,11,1993
448,9024,1993-10-01,11146270.0,Comedy Romance,77.0,94.0,30000000,5.7,10,1993
449,37233,1993-06-30,270248367.0,Drama Mystery Thriller,513.0,154.0,42000000,6.6,6,1993
450,1634,1993-07-16,153698625.0,Family Adventure,429.0,112.0,20000000,6.0,7,1993
452,5503,1993-08-06,368875760.0,Adventure Action Thriller Crime Mystery,1240.0,130.0,44000000,7.2,8,1993
453,35588,1993-12-10,18635620.0,History Action Drama Western,44.0,115.0,35000000,5.9,12,1993
454,2087,1994-02-11,30.0,Drama Action Thriller,81.0,115.0,0,5.4,2,1994
458,4916,1993-06-04,22886222.0,Drama Thriller,21.0,107.0,0,5.6,6,1993
459,2019,1993-08-20,74189677.0,Action Adventure Crime Thriller,237.0,97.0,18000000,6.1,8,1993
461,9255,1993-05-21,133752825.0,Action Comedy War,463.0,86.0,25000000,6.2,5,1993
468,12475,1994-08-12,28881266.0,Comedy,54.0,91.0,0,4.7,8,1994
469,9386,1993-07-08,176997168.0,Action Drama Thriller Crime Mystery,392.0,128.0,40000000,6.8,7,1993
470,7984,1993-12-12,65796862.0,Drama,363.0,133.0,13000000,7.6,12,1993
471,59930,1994-04-22,8880705.0,Comedy Drama Romance,5.0,110.0,0,3.9,4,1994
474,6,1993-10-15,12136938.0,Action Thriller Crime,79.0,110.0,0,6.4,10,1993
475,329,1993-06-11,920100000.0,Adventure Science Fiction,4956.0,127.0,63000000,7.6,6,1993
476,10909,1993-09-01,2395231.0,Thriller Crime,209.0,117.0,9000000,6.5,9,1993
477,507,1993-10-01,418961.0,Action Crime Drama Thriller,111.0,96.0,1500000,6.1,10,1993
480,9593,1993-06-18,137298489.0,Adventure Fantasy Action Comedy Family,725.0,130.0,85000000,6.1,6,1993
483,1413,1993-09-09,1499795.0,Drama Romance,35.0,101.0,0,6.6,9,1993
485,2246,1993-09-29,46405336.0,Drama Crime,105.0,107.0,0,5.9,9,1993
486,10502,1993-08-25,24760338.0,Drama,125.0,114.0,0,6.2,8,1993
487,10440,1993-08-18,11285588.0,Comedy Mystery,169.0,104.0,13500000,7.1,8,1993
488,9516,1993-05-26,27900000.0,Drama Action Crime,179.0,97.0,3500000,7.2,5,1993
489,2320,1996-03-15,121969216.0,Action Adventure Drama Thriller,261.0,133.0,55000000,5.8,3,1996
495,788,1993-11-24,441286195.0,Comedy Drama Family,1638.0,125.0,25000000,7.0,11,1993
497,11231,1994-07-18,15826984.0,Adventure,202.0,107.0,12000000,4.8,7,1994
499,10447,1994-04-29,15340000.0,Action Drama Science Fiction Thriller,86.0,118.0,20000000,6.1,4,1994
502,9559,1993-11-24,135130999.0,Crime Drama Thriller,376.0,138.0,30000000,7.2,11,1993
503,9800,1993-12-22,206678440.0,Drama,1019.0,125.0,26000000,7.6,12,1993
504,713,1993-05-19,116700000.0,Drama Romance,290.0,121.0,7000000,7.1,5,1993
505,8291,1993-07-23,27515786.0,Drama Romance,47.0,109.0,14000000,6.9,7,1993
506,18133,1993-09-24,23042200.0,Drama,28.0,112.0,0,6.0,9,1993
507,25557,1994-10-21,8638072.0,Horror Science Fiction Thriller,41.0,109.0,0,5.6,10,1994
509,10872,1994-03-09,11439193.0,Comedy,99.0,97.0,11000000,6.7,3,1994
510,1245,1993-11-05,23237911.0,Drama Romance,213.0,134.0,11500000,7.5,11,1993
511,11858,1994-06-03,24332324.0,Comedy War,83.0,128.0,40000000,5.9,6,1994
512,7007,1993-07-30,107198790.0,Action Drama Thriller,188.0,125.0,0,5.8,7,1993
514,5550,1993-04-17,10696210.0,Action Adventure Crime Science Fiction Thriller,309.0,104.0,22000000,4.2,4,1993
515,8005,1993-07-28,35739755.0,Comedy,575.0,104.0,20000000,6.4,7,1993
516,2088,1993-09-13,3275585.0,Action Crime Drama Thriller,36.0,100.0,11500000,5.7,9,1993
518,47889,1993-10-08,1001437.0,Drama Romance,10.0,114.0,800000,5.6,10,1993
519,14534,1993-09-17,22750363.0,Drama,187.0,114.0,12000000,7.2,9,1993
522,424,1993-11-29,321365567.0,Drama History War,4436.0,195.0,22000000,8.3,11,1993
524,14291,1993-08-13,7266383.0,Drama,100.0,110.0,0,7.3,8,1993
527,11592,1994-04-13,7820688.0,Comedy Crime Horror Thriller,137.0,95.0,13000000,6.4,4,1994
528,8850,1994-07-01,48063435.0,Adventure Fantasy Action Thriller Science Fiction,140.0,108.0,25000000,5.4,7,1994
530,695,1993-09-05,6110979.0,Comedy Drama,136.0,187.0,0,6.9,9,1993
532,12519,1993-10-01,7770731.0,Comedy Drama,31.0,98.0,0,5.2,10,1993
534,858,1993-06-24,227799884.0,Comedy Drama Romance,630.0,105.0,21000000,6.5,6,1993
535,867,1993-05-21,116300000.0,Drama Thriller,144.0,108.0,40000000,4.9,5,1993
536,78,1982-06-25,33139618.0,Science Fiction Drama Thriller,3833.0,117.0,28000000,7.9,6,1982
537,13203,1993-07-02,36448200.0,Comedy Drama Romance,81.0,95.0,0,5.6,7,1993
538,10442,1993-07-30,11585483.0,Comedy Crime Romance,131.0,93.0,20000000,6.1,7,1993
541,9607,1993-05-28,20915465.0,Adventure Comedy Family Fantasy,236.0,104.0,48000000,4.0,5,1993
542,17585,1994-04-15,7690013.0,Action Adventure Thriller Crime,53.0,96.0,7400000,6.1,4,1994
543,9057,1994-09-23,16478900.0,Action Thriller,82.0,102.0,50000000,5.0,9,1994
546,9479,1993-10-09,75634409.0,Fantasy Animation Family,2135.0,76.0,18000000,7.6,10,1993
547,10057,1993-11-11,53898845.0,Action Adventure Comedy,219.0,105.0,30000000,6.2,11,1993
548,11969,1993-12-25,56505065.0,Action Adventure Drama History Western,632.0,130.0,25000000,7.4,12,1993
550,319,1993-09-09,12281551.0,Action Thriller Crime Romance,762.0,120.0,12500000,7.5,9,1993
552,15139,1994-11-23,13670688.0,Fantasy Science Fiction Family Animation,178.0,80.0,27000000,6.2,11,1994
558,24405,1994-04-22,1596687.0,Comedy Romance,22.0,102.0,0,4.7,4,1994
569,10897,1994-08-05,67308282.0,Romance Comedy Family,214.0,82.0,0,6.3,8,1994
573,37345,1994-09-16,3021629.0,Comedy Drama History Mystery,5.0,97.0,0,4.4,9,1994
579,771,1990-11-09,476684675.0,Comedy Family,2487.0,103.0,18000000,7.1,11,1990
580,251,1990-07-12,505000000.0,Fantasy Drama Thriller Mystery Romance,1381.0,127.0,22000000,6.9,7,1990
581,812,1992-11-25,504050219.0,Animation Family Comedy Adventure Fantasy Romance,3495.0,90.0,28000000,7.4,11,1992
582,280,1991-07-01,520000000.0,Action Thriller Science Fiction,4274.0,137.0,100000000,7.7,7,1991
583,581,1990-11-09,424208848.0,Adventure Drama Western,1084.0,181.0,22000000,7.6,11,1990
585,268,1989-06-23,411348924.0,Fantasy Action,2145.0,126.0,35000000,7.0,6,1989
